"Ad ID","Campaign","Angle","Primary Text","Headline","Description","Call To Action","Audience","Creative File"
"11","Luxury Self-Care Ritual","Time for you","You spend all day giving your time to everyone else. These ten minutes in the shower are just for you. A rich botanical lather, a calming natural scent, and hair that feels wonderfully soft afterwards. Turn wash day into something you actually look forward to.","Make Wash Day A Ritual","A little luxury, every single day.","Shop Now","Women aged 28-60","creatives/ad-11.svg"
"12","Luxury Self-Care Ritual","Everyday luxury","Some days self-care means a full spa. Other days it's simply a beautiful bottle of shampoo that makes your shower feel like one. The Ivy Bee brings a little quiet luxury to your everyday routine, because you deserve it.","Everyday Luxury, Bottled","Premium botanical hair care.","Shop Now","Women aged 28-60","creatives/ad-12.svg"
"13","Luxury Self-Care Ritual","Beautiful on display","The amber glass. The soft botanical scent. The way your hair feels afterwards. The Ivy Bee isn't just hair care, it's the most indulgent five minutes of your day. Go ahead and treat yourself.","Beauty You'll Want On Display","Luxury that looks as good as it feels.","Shop Now","Women aged 28-60","creatives/ad-13.svg"
"14","Luxury Self-Care Ritual","Moment of calm","Close your eyes. Take a deep breath in. The natural botanical scent of The Ivy Bee turns an everyday shower into a real moment of calm, and leaves your hair soft, shiny and beautifully fragrant long after you've stepped out.","A Moment Just For You","Calm your mind, nourish your hair.","Shop Now","Women aged 28-60","creatives/ad-14.svg"
"15","Luxury Self-Care Ritual","At-home spa","You've earned a bit of indulgence. The Ivy Bee's three-step ritual of cleanse, condition and treat turns wash day into the kind of pampering you'd happily pay salon prices for. Now it just lives in your bathroom.","The At-Home Spa Ritual","Salon-worthy pampering, every wash.","Shop Now","Women aged 28-60","creatives/ad-15.svg"
"16","Age Confidence (28-60)","Hair changes with age","Your hair changes through your 30s, 40s and beyond, and it deserves care that keeps up. The Ivy Bee is made to bring back moisture, strength and shine to hair that's been through a bit of life. Because gorgeous hair really has no age limit.","Care That Keeps Up With You","For hair at every stage of life.","Shop Now","Women aged 28-60","creatives/ad-16.svg"
"17","Age Confidence (28-60)","Hormonal change","Hormones, colour, the passing years. They all tend to show up in your hair eventually. The Ivy Bee helps bring back the softness and body you remember, with botanical nourishment made for hair that's lived a little. Feel like yourself again.","Bring Back Your Best Hair","Botanical care for changing hair.","Shop Now","Women aged 28-60","creatives/ad-17.svg"
"18","Age Confidence (28-60)","Grey and coloured hair","Whether you're proudly embracing your greys or topping up the colour, mature and coloured hair needs a bit of extra love. The Ivy Bee gently nourishes and protects, keeping your colour vibrant and your hair beautifully soft. Confidence, bottled.","Love The Hair You're In","Gentle care for coloured and grey hair.","Shop Now","Women aged 28-60","creatives/ad-18.svg"
"19","Age Confidence (28-60)","Thinning and dryness","Noticing your hair feels thinner or drier than it once did? You're far from alone, and this is exactly what we made The Ivy Bee for. Strengthening, volumising botanicals help your hair feel fuller and healthier, day after day.","Fuller, Healthier Hair","Botanical strength for thinning hair.","Shop Now","Women aged 28-60","creatives/ad-19.svg"
"20","Age Confidence (28-60)","No age limit","Great hair doesn't retire. The Ivy Bee gives mature hair the moisture, shine and strength it craves, so you can keep turning heads at 30, at 50, and every year after. Come and try the range women your age are quietly switching to.","Gorgeous Hair, No Age Limit","Premium care, made for you.","Shop Now","Women aged 28-60","creatives/ad-20.svg"
"21","Social Proof & Reviews","Forever shampoo","""I've finally found my forever shampoo."" We hear it over and over. Women are switching to The Ivy Bee and not looking back. Softer, shinier, healthier hair after just a few washes. Come and see what all the fuss is about.","Women Are Switching To This","Join the thousands who made the change.","Shop Now","Women aged 28-60","creatives/ad-21.svg"
"22","Social Proof & Reviews","5-star review","""My hair hasn't felt this soft in years. The scent is gorgeous and a little goes such a long way."" Those are real words from real women who gave The Ivy Bee a go. Fancy writing your own review next?","Reviewed And Loved","5-star botanical hair care.","Shop Now","Women aged 28-60","creatives/ad-22.svg"
"23","Social Proof & Reviews","Sells out","Sold out twice already, and it's back in stock right now. The Ivy Bee has quietly become the hair care women can't stop telling their friends about. Once you feel the difference for yourself, you'll understand why.","The Hair Care Everyone's Talking About","Back in stock, for now.","Shop Now","Women aged 28-60","creatives/ad-23.svg"
"24","Social Proof & Reviews","Whim to holy grail","""I bought it on a whim, and now I'm on my third bottle."" Sometimes a little gamble really pays off. Thousands of women have made The Ivy Bee part of their everyday ritual. Take the chance. Your hair will thank you for it.","From Whim To Holy Grail","Loved by women everywhere.","Shop Now","Women aged 28-60","creatives/ad-24.svg"
"25","Social Proof & Reviews","Compliments","You know you're onto something when your hairdresser asks what you've been using. The Ivy Bee gets noticed. Softer, shinier, healthier hair that turns heads. Come and find out what all the compliments are about.","Hair That Gets Compliments","Try the range women rave about.","Shop Now","Women aged 28-60","creatives/ad-25.svg"
"26","Brand & Founder Story","Why we started","We started The Ivy Bee with one simple belief. Your everyday hair care should feel like a treat, not a compromise. No harsh chemicals, no cutting corners. Just beautifully made botanical formulas, mixed in small batches with a lot of care. Hair care the way it should be.","Made With Real Care","Small-batch botanical hair care.","Learn More","Women aged 28-60","creatives/ad-26.svg"
"27","Brand & Founder Story","Born from frustration","We got fed up with shampoos that promised the world and just stripped our hair instead, so we made our own. The Ivy Bee is what came of it. Botanical, gentle and genuinely effective, made by people who were tired of settling. Come and meet your new everyday.","Born From Frustration, Made With Love","The botanical hair care we always wanted.","Learn More","Women aged 28-60","creatives/ad-27.svg"
"28","Brand & Founder Story","Meaning behind the name","Ivy for resilience. The bee for nature's nourishment. Every bottle of The Ivy Bee takes its cue from the quiet power of nature, thoughtfully made to bring out the healthiest version of your hair. Come and hear the story behind it all.","The Story In Every Bottle","Nature-inspired, thoughtfully made.","Learn More","Women aged 28-60","creatives/ad-28.svg"
"29","Brand & Founder Story","Premium for real women","Premium really doesn't have to mean pretentious. We made The Ivy Bee to bring salon-quality botanical hair care into real women's bathrooms, at a price that feels fair and with results that feel anything but ordinary. Welcome to your new favourite.","Premium Hair Care For Real Women","Salon quality, beautifully affordable.","Shop Now","Women aged 28-60","creatives/ad-29.svg"
"30","Brand & Founder Story","Crafted properly","Every bottle is mixed in small batches, poured into eco-friendly amber glass and made without any of the nasties. The Ivy Bee is hair care done properly. Slowly, thoughtfully, and with you in mind. Come and feel the difference real care makes.","Hair Care Done Properly","Crafted in small batches, with care.","Learn More","Women aged 28-60","creatives/ad-30.svg"
"31","New Launch & Intro Offer","Just launched","It's finally here. The Ivy Bee has officially launched, and it's the botanical hair care upgrade you've been waiting for. Be one of the first to try the Shampoo, Conditioner and Treatment, and find out what healthy hair really feels like.","Just Launched: The Ivy Bee","New premium botanical hair care.","Shop Now","Women aged 28-60","creatives/ad-31.svg"
"32","New Launch & Intro Offer","Complete trio","New around here? Start with the trio. Our Shampoo, Conditioner and Hair Treatment work beautifully together to cleanse, nourish and repair. It's the complete ritual for softer, stronger, shinier hair. First time? You're in for a treat.","Try The Complete Ritual","Shampoo. Condition. Treat. Transform.","Shop Now","Women aged 28-60","creatives/ad-32.svg"
"33","New Launch & Intro Offer","First-order offer","First order with us? Here's a little welcome gift to say hello. Treat your hair to The Ivy Bee and see why it's fast becoming the go-to for women who want clean, premium, results-driven hair care. There's never been a better moment to give it a go.","New Here? Save On Your First Order","Your hair upgrade starts here.","Get Offer","Women aged 28-60","creatives/ad-33.svg"
"34","New Launch & Intro Offer","Start with the hero","Curious, but not quite ready for the full range? Start with the Shampoo & Restore. It's the hero product women fall for first, and one bottle might just change your wash day for good.","Start With The Hero Product","Meet the shampoo everyone loves.","Shop Now","Women aged 28-60","creatives/ad-34.svg"
"35","New Launch & Intro Offer","Selling fast","The product everyone's been asking for is finally here, and that first batch is moving quickly. Don't miss your chance to try The Ivy Bee while it's still in stock. Premium botanical hair care, ready to ship straight to your door.","Just Launched, Selling Fast","Get yours before it's gone.","Shop Now","Women aged 28-60","creatives/ad-35.svg"
"36","Sustainability & Eco","Recyclable glass","Lovely for your hair, and kinder to the planet too. The Ivy Bee comes in refined, recyclable amber glass. No cheap plastic, no compromise. It's premium hair care you can feel genuinely good about, inside and out.","Hair Care That Gives Back","Recyclable glass, botanical formulas.","Learn More","Women aged 28-60","creatives/ad-36.svg"
"37","Sustainability & Eco","Luxury with conscience","We've always believed that luxury and responsibility belong together. That's why The Ivy Bee is cruelty-free, bottled in reusable amber glass and made with botanical ingredients that are kind to your hair and to the world around you.","Luxury With A Conscience","Cruelty-free, botanical, beautifully made.","Learn More","Women aged 28-60","creatives/ad-37.svg"
"38","Sustainability & Eco","Refill and reuse","Those amber glass bottles aren't just gorgeous on your shelf, they're better for the planet too. Refill them, reuse them, repeat. The Ivy Bee is premium hair care designed to last. Come and make the beautiful switch.","Too Beautiful To Throw Away","Sustainable amber glass, by design.","Shop Now","Women aged 28-60","creatives/ad-38.svg"
"39","Sustainability & Eco","Inspired by the bee","We take our cue from the bee, nature's hardest worker, which is why we're so committed to formulas that respect the natural world. Botanical, cruelty-free and thoughtfully packaged. With The Ivy Bee you really don't have to choose between gorgeous hair and a clear conscience.","Kind To Hair, Kind To Nature","Botanical care, made responsibly.","Learn More","Women aged 28-60","creatives/ad-39.svg"
"40","Sustainability & Eco","Plastic-free shelf","Plastic-free bathroom goals start right here. The Ivy Bee's recyclable amber glass bottles look stunning on the shelf and tread lightly on the planet. It's premium, sustainable hair care you'll actually want to show off. Upgrade your shelf, and your hair.","Upgrade Your Shelf","Sustainable beauty that looks the part.","Shop Now","Women aged 28-60","creatives/ad-40.svg"
"41","Scent & Sensory","The scent first","The very first thing you'll notice is the scent. Soft, botanical and never over the top. The Ivy Bee turns your shower into a little sensory escape, and leaves your hair smelling subtly beautiful all day long.","Hair That Smells Incredible","A botanical scent you'll fall for.","Shop Now","Women aged 28-60","creatives/ad-41.svg"
"42","Scent & Sensory","Signature scent","Ever had someone lean in just to ask what your hair smells like? With The Ivy Bee, you'll want to get used to it. It's a delicate, natural fragrance that lingers gently all day. Your new signature scent might just turn out to be your shampoo.","Your New Signature Scent","Subtle, natural, unforgettable.","Shop Now","Women aged 28-60","creatives/ad-42.svg"
"43","Scent & Sensory","Whole experience","This isn't just clean hair, it's a whole experience. The rich lather, the calming botanical aroma, that silky finish. The Ivy Bee makes every single wash feel like a treat for the senses. Once you've tried it, plain old shampoo just won't cut it anymore.","A Treat For Your Senses","Indulgent botanical hair care.","Shop Now","Women aged 28-60","creatives/ad-43.svg"
"44","Scent & Sensory","Wash away the day","Soft on your hair, and soft on your senses. The Ivy Bee's natural botanical scent turns an ordinary shower into a calming little ritual. Think of it as the small moment of luxury your day has been missing.","Wash Away The Day","Calming, botanical, beautiful.","Shop Now","Women aged 28-60","creatives/ad-44.svg"
"45","Scent & Sensory","Months perfecting the scent","We spent months getting the scent just right, because hair care should delight every sense, not just leave you clean. The Ivy Bee's signature botanical fragrance is subtle, grown-up and, honestly, a little bit addictive. Go on, breathe it in.","Scent You'll Obsess Over","A fragrance worth falling for.","Shop Now","Women aged 28-60","creatives/ad-45.svg"
"46","Salon Quality & Value","Salon results at home","Salon-soft hair without the salon price tag, yes please. The Ivy Bee gives you that smooth, shiny, healthy finish you'd expect from a professional treatment, right there in your own shower. So why on earth pay more?","Salon Results At Home","Professional-quality botanical care.","Shop Now","Women aged 28-60","creatives/ad-46.svg"
"47","Salon Quality & Value","Premium, smart price","Think premium hair care has to cost the earth? Think again. The Ivy Bee brings botanical, salon-grade formulas into your bathroom for a fraction of what you'd spend in the chair. Treat yourself, and be smart about it.","Premium Hair, Smart Price","Luxury that actually makes sense.","Shop Now","Women aged 28-60","creatives/ad-47.svg"
"48","Salon Quality & Value","A little goes far","A little really does go a long way. One pump of The Ivy Bee Shampoo lathers up richly and lasts, so that beautiful bottle stretches much further than you'd expect. Premium quality that's kind to your hair and to your wallet.","Luxury That Lasts","A little goes a long way.","Shop Now","Women aged 28-60","creatives/ad-48.svg"
"49","Salon Quality & Value","Skip the salon","Skip the salon, but keep the results. Our Hair Treatment gives you that fresh-from-the-chair softness and shine at home, any time you fancy it. Think of it as your weekly ritual for gorgeous, healthy hair.","Salon Softness, On Repeat","Weekly treatment, endless shine.","Shop Now","Women aged 28-60","creatives/ad-49.svg"
"50","Salon Quality & Value","Worth the investment","Invest a little in your hair. It's the one thing you never take off, after all. The Ivy Bee's complete ritual is the upgrade that pays you back every single day, in softer, stronger, more beautiful hair. Worth every penny, we promise.","The Upgrade Worth Making","Premium botanical hair care.","Shop Now","Women aged 28-60","creatives/ad-50.svg"
